id,species,locyr,tl,wt,scale_1,scale_2,scale_3,otolith_1,otolith_2,otolith_3
2431,LMB,Pleasant Hill_2013,400,850,6,6,6,6,6,7
2432,LMB,Pleasant Hill_2013,453,1320,10,8,12,7,7,7
2433,LMB,Pleasant Hill_2013,321,419,3,3,4,3,3,3
2434,LMB,Pleasant Hill_2013,347,546,4,3,5,3,3,3
2435,LMB,Pleasant Hill_2013,342,465,5,4,5,3,3,3
2436,LMB,Pleasant Hill_2013,347,580,5,4,6,3,3,3
2437,LMB,Pleasant Hill_2013,248,164,3,2,3,2,2,2
2438,LMB,Pleasant Hill_2013,450,1287,7,7,8,7,7,7
2439,LMB,Pleasant Hill_2013,368,679,5,4,5,4,4,4
2440,LMB,Pleasant Hill_2013,291,299,4,3,5,2,2,2
2441,LMB,Pleasant Hill_2013,226,129,3,1,4,2,2,2
2442,LMB,Pleasant Hill_2013,268,216,4,2,3,2,2,2
2443,LMB,Pleasant Hill_2013,267,229,3,2,4,2,2,2
2444,LMB,Pleasant Hill_2013,266,229,4,2,4,2,2,2
2445,LMB,Pleasant Hill_2013,311,377,4,3,5,3,3,3
2446,LMB,Pleasant Hill_2013,276,238,2,2,3,2,2,2
2447,LMB,Pleasant Hill_2013,273,250,NA,2,4,2,2,2
2448,LMB,Pleasant Hill_2013,444,1460,12,8,11,8,8,8
2449,LMB,Pleasant Hill_2013,316,397,NA,4,7,3,3,3
2450,LMB,Pleasant Hill_2013,353,658,9,3,8,4,4,4
2451,LMB,Pleasant Hill_2013,208,102,4,1,3,2,2,2
2452,LMB,Pleasant Hill_2013,368,804,NA,5,8,5,5,5
2454,LMB,Pleasant Hill_2013,154,36,1,1,2,1,1,1
2455,LMB,Pleasant Hill_2013,425,979,9,7,10,6,6,6
2456,LMB,Pleasant Hill_2013,151,36,1,1,2,1,1,1
2457,LMB,Pleasant Hill_2013,389,765,7,6,9,6,6,6
2075,LMB,Pleasant Hill_2014,439,1026,8,NA,7,7,7,7
2076,LMB,Pleasant Hill_2014,333,451,5,4,5,5,5,5
2077,LMB,Pleasant Hill_2014,264,245,2,2,2,2,2,2
2078,LMB,Pleasant Hill_2014,228,128,2,2,2,2,2,2
2079,LMB,Pleasant Hill_2014,236,155,3,2,2,2,2,2
2080,LMB,Pleasant Hill_2014,384,755,6,6,6,6,6,5
2081,LMB,Pleasant Hill_2014,262,193,2,3,2,2,2,2
2082,LMB,Pleasant Hill_2014,252,179,2,2,2,2,2,2
2083,LMB,Pleasant Hill_2014,305,320,2,3,2,3,3,3
2084,LMB,Pleasant Hill_2014,271,263,2,3,2,2,2,2
2085,LMB,Pleasant Hill_2014,306,392,4,4,3,4,4,3
2086,LMB,Pleasant Hill_2014,325,478,3,3,4,3,3,3
2087,LMB,Pleasant Hill_2014,285,292,2,4,3,2,2,2
2088,LMB,Pleasant Hill_2014,350,539,4,4,4,4,4,4
2089,LMB,Pleasant Hill_2014,246,173,2,2,2,2,2,2
2090,LMB,Pleasant Hill_2014,341,522,5,4,3,4,4,4
2091,LMB,Pleasant Hill_2014,363,643,NA,NA,4,4,4,3
2092,LMB,Pleasant Hill_2014,425,1267,6,6,7,6,6,5
2094,LMB,Pleasant Hill_2014,415,1087,6,6,6,8,8,7
